theme,video_short,video_id,video,comment_index,comment,source_file,manual_7_emotion,manual_3_sentiment,label_notes,annotation_source
fear_health_warning,fear_health_warning,5zWB4dLYChM,https://www.youtube.com/watch?v=5zWB4dLYChM,57,"If that doesn't put people off from smoking, I don't know what will.",youtube_domain_training_comments_8000_unlabeled.csv,surprise,negative,Expresses disbelief that the content is effective deterrent.,deepseek_v4pro_ai_labeling
disgust_brand_crisis_more,brand_crisis_negative,tHn5bOBoEMI,https://www.youtube.com/watch?v=tHn5bOBoEMI,185,Wouldn't it be better to use a good DSLR camera as the central device and create a virtual camera on the phones to share the video stream from the DSLR?,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,Asking a technical question without emotional tone.,deepseek_v4pro_ai_labeling
food_beverage_ad,food_beverage_ad,Yy6fByUmPuE,https://www.youtube.com/watch?v=Yy6fByUmPuE,52,"With the recent news of AI content not being eligible for copyright protection, it would be a hilarious power-move for Pepsi to just take this commercial and just slap the Pepsi logo over the Coke logo when it appears.",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Amused by the idea of Pepsi using AI content due to copyright loophole.,deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,O15dxrBNuAQ,https://www.youtube.com/watch?v=O15dxrBNuAQ,206,It reminds me of my mom who took her life an hour ago she tried giving me the world but she gave up.. i miss you mom i wish you were still here with me 🙏🏼🙏🏼,youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,Expresses grief and loss over mother's recent suicide.,deepseek_v4pro_ai_labeling
movie_trailer_joy,movie_trailer_joy,LEjhY15eCx0,https://www.youtube.com/watch?v=LEjhY15eCx0,67,The fact that Anxiety is the villain and tries to take control and get rid of other emotions is so accurate. That’s my anxiety right there😂.,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,"Relatable humor about anxiety, laughing emoji indicates amusement.",deepseek_v4pro_ai_labeling
anger_customer_service_more,anger_customer_service,T8ClHGY08jc,https://www.youtube.com/watch?v=T8ClHGY08jc,173,"Wow....a lot of people were switching during Christmas. I was almost one of them....im glad I didn’t. "" nothing they can do to fix it""!!!! I bet Verizon still want those phone bills paid though",youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,"Criticizing Verizon's service and hypocrisy about bills, expressing frustration.",deepseek_v4pro_ai_labeling
surprise_product_fail_more,surprise_product_fail,_Cd2WIxKRDk,https://www.youtube.com/watch?v=_Cd2WIxKRDk,207,one time my charger started to catch fire,youtube_domain_training_comments_8000_unlabeled.csv,fear,negative,Describes a dangerous event causing concern.,deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,uaWA2GbcnJU,https://www.youtube.com/watch?v=uaWA2GbcnJU,35,"I love how there’s an advertisement out there just reminding you to be a good person and show kindness. Man that shit can really go a long way, be kind to others, no matter what.",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses appreciation for kindness and positivity.,deepseek_v4pro_ai_labeling
disgust_brand_crisis_more,brand_crisis_negative,tHn5bOBoEMI,https://www.youtube.com/watch?v=tHn5bOBoEMI,205,They are like using 1gig data per second that's insane,youtube_domain_training_comments_8000_unlabeled.csv,surprise,negative,"Expresses shock at high data usage, implying disapproval.",deepseek_v4pro_ai_labeling
surprise_launch_reaction,surprise_launch_reaction,4qGw9WH4Xj8,https://www.youtube.com/watch?v=4qGw9WH4Xj8,85,Grok is by far the worst ai btw and Gemini is one of the best because Gemini has full access to google while grok only has X and X has a lot of miss information also Gemini is protected by google from websites with miss information,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,"Expresses strong dislike for Grok and praises Gemini, with critical tone.",deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,uaWA2GbcnJU,https://www.youtube.com/watch?v=uaWA2GbcnJU,1,11 years later this video still hits me,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Nostalgic appreciation for enduring impact of video.,deepseek_v4pro_ai_labeling
anger_customer_service_more,anger_customer_service,T8ClHGY08jc,https://www.youtube.com/watch?v=T8ClHGY08jc,12,Can’t make phone calls even with WiFi connected,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Frustration expressed about inability to make calls despite WiFi.,deepseek_v4pro_ai_labeling
sadness_psa,sadness_psa,B2rFTbvwteo,https://www.youtube.com/watch?v=B2rFTbvwteo,44,Drive safe 😭😭😭. I cried watching this ad about road safety 😭😭😭😭. Please Guy's drive safe remember that there's someone waiting for you at home if you don't have anyone remember there's someone waiting for you in future please drive safe😭😭😭😭,youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,"Expresses deep sorrow and concern for road safety, with crying emojis.",deepseek_v4pro_ai_labeling
anger_brand_backlash,disgust_brand_backlash,liPlJ_ynd_Q,https://www.youtube.com/watch?v=liPlJ_ynd_Q,73,The video hit 1 mil dislikes so they reposted it,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,"Criticizes reposting due to dislikes, implying dishonesty.",deepseek_v4pro_ai_labeling
disgust_brand_backlash,disgust_brand_backlash,zFm9FRxi0ZM,https://www.youtube.com/watch?v=zFm9FRxi0ZM,75,"Honestly, who is unhappy about this advertisement? Probably the Republicans. The protest shown is clearly a protest for peace, equality, unity and universal love. The pepsi handed to the police officer is a peace offering, showing that the protesters won, depicted by the officer accepting and drinking the pepsi. This is how I see this ad. Nothing wrong with promoting peace, equality, unity or universal love, the protesters weren't violent in any way. #Namaste",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,"Comment praises ad for promoting peace and unity, showing positive sentiment.",deepseek_v4pro_ai_labeling
disgust_brand_crisis_more,brand_crisis_negative,kQg2LMmpPn8,https://www.youtube.com/watch?v=kQg2LMmpPn8,228,"All im thinking is can I hold my dinner down after eating McDonald's for 30 years. It's not who works there its the fake food. When I'd eat the fries my fingernails would turn brittle. It's sus, what are they feeding us? As for the crooked cheese I'll tell you what's unsatisfying.....",youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Expresses distrust and frustration about McDonald's food quality and health effects.,deepseek_v4pro_ai_labeling
controversial_brand_purpose,controversial_brand_purpose,UYaY2Kb_PKI,https://www.youtube.com/watch?v=UYaY2Kb_PKI,19,Gillette screwed up big time😂😂😂. At least I know what brand I won't be using.,youtube_domain_training_comments_8000_unlabeled.csv,joy,negative,"Laughter emojis indicate amusement at Gillette's mistake, but sentiment is negative.",deepseek_v4pro_ai_labeling
anger_customer_service_more,anger_customer_service,oZRywTkhwrA,https://www.youtube.com/watch?v=oZRywTkhwrA,2,"I can’t believe the news is saying that thousands of customers are affected. Well, if Verizon is down in New York, LA DC TX and other places, that means millions of people are not able to use their phone. So the people reporting outages is a fraction of what is really down.",youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,"Frustration with news underreporting outage scale, implying distrust.",deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,O15dxrBNuAQ,https://www.youtube.com/watch?v=O15dxrBNuAQ,145,This shit breaks me every god damn time. I got a son coming in September and I'm so anxious cause my dad left when I was 3. Wish me luck guys.,youtube_domain_training_comments_8000_unlabeled.csv,sadness,negative,Expresses deep emotional pain from past trauma and anxiety about becoming a father.,deepseek_v4pro_ai_labeling
disgust_food_safety_more,disgust_food_safety,dhBxrfETXJA,https://www.youtube.com/watch?v=dhBxrfETXJA,43,Had a restaurant serve me chicken that had obviously gone bad and they tried to argue with us that nothing wrong until we challenged them to eat it themselves. We were frequent customers and after that incident no longer. Everyone make sure you advocate your health and safety!,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Expresses anger about bad service and health safety issue.,deepseek_v4pro_ai_labeling
disgust_food_safety,disgust_food_safety,--OnclX8yac,https://www.youtube.com/watch?v=--OnclX8yac,45,"If you eat out, you'll always run some risk. That's why if a place is good you should be a faithful patron.",youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,Comment gives practical advice without strong emotion.,deepseek_v4pro_ai_labeling
sadness_psa_more,sadness_psa,O15dxrBNuAQ,https://www.youtube.com/watch?v=O15dxrBNuAQ,123,Who is watching this in 2019,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,"Simple inquiry about current viewers, no strong emotion.",deepseek_v4pro_ai_labeling
surprise_product_fail,surprise_product_fail,8H6jz30Im_Y,https://www.youtube.com/watch?v=8H6jz30Im_Y,87,"""KABOOM?"" ""yes we're gay, Kaboom"" (KABOOM)",youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,"Playful reference to a meme, expressing amusement.",deepseek_v4pro_ai_labeling
classic_brand_ad,classic_brand_ad,owGykVbfgUE,https://www.youtube.com/watch?v=owGykVbfgUE,51,Watching this for the first time in 2017.,youtube_domain_training_comments_8000_unlabeled.csv,neutral,neutral,"Factual statement about watching time, no emotion.",deepseek_v4pro_ai_labeling
surprise_launch_reaction,surprise_launch_reaction,4qGw9WH4Xj8,https://www.youtube.com/watch?v=4qGw9WH4Xj8,6,Grok is now garbage,youtube_domain_training_comments_8000_unlabeled.csv,anger,negative,Expresses strong disapproval calling Grok garbage.,deepseek_v4pro_ai_labeling
anger_customer_service_more,anger_customer_service,T8ClHGY08jc,https://www.youtube.com/watch?v=T8ClHGY08jc,72,The thing is that the wifi in my house is also from Verizon😂,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Laughter emoji indicates amusement at the irony.,deepseek_v4pro_ai_labeling
brand_campaign_positive,brand_campaign_positive,ijTwZNUBhcI,https://www.youtube.com/watch?v=ijTwZNUBhcI,22,I remember watching this over a decade ago. Still amazing.,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Nostalgic appreciation for content that remains enjoyable.,deepseek_v4pro_ai_labeling
controversial_brand_purpose,controversial_brand_purpose,UYaY2Kb_PKI,https://www.youtube.com/watch?v=UYaY2Kb_PKI,60,Gillette has just recorded yet another quarterly loss. Hate doesn't pay.,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Schadenfreude at Gillette's loss due to controversial ad.,deepseek_v4pro_ai_labeling
disgust_food_safety_more,disgust_food_safety,xPGCrRRFWBk,https://www.youtube.com/watch?v=xPGCrRRFWBk,131,Gordon Ramsay would be disappointed!! 😂😂😂,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,"Laughter emojis indicate amusement, despite mention of disappointment.",deepseek_v4pro_ai_labeling
anger_brand_backlash,disgust_brand_backlash,MGxpkIK2lVs,https://www.youtube.com/watch?v=MGxpkIK2lVs,71,I love the fact that Uncle Charla has woke up!..... I remember on a Vlad interview he said racism wasn't as prevalent or relevant in this country..... Congratulations!,youtube_domain_training_comments_8000_unlabeled.csv,joy,positive,Expresses happiness about someone's awakening and congratulates them.,deepseek_v4pro_ai_labeling
