video,video_short,comment_index,comment,manual_7_emotion,manual_3_sentiment,pretrained_7_emotion,finetuned_7_emotion,sentiment_pipeline_3,pretrained_7_match,finetuned_7_match,sentiment_3_match,domain_adapted_7_emotion,domain_adapted_7_match,previous_manual_7_emotion,previous_manual_3_sentiment,manual_label_changed,manual_review_note,manual_review_source
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,11,"BRAZIL is a BRICKS member and US imposed 50% on this country, there's no way the second largest REE country will align with US to solve this crisis.",neutral,neutral,neutral,sadness,negative,Yes,No,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,12,"As usual, the narrative is: American hegemony = good Anything else = bad",anger,negative,neutral,neutral,negative,No,No,Yes,neutral,No,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,13,35000 lawyers 350 mining engineers.,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,14,"Don't start war with China, then no rare earth problem",neutral,neutral,neutral,neutral,negative,Yes,Yes,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,15,"Did they forget how they did to Huawei and some other companies back in 2018? And now still blocking China to get latest chips. So this means only US can accuse others and sanction others, others can’t fight back, if you fight back, I will do the strongest condemn logic? Karma is a bitch, isn’t it? 😊",anger,negative,anger,anger,negative,Yes,Yes,Yes,anger,Yes,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,16,"“We want a lot of rocks, I’m gathering rocks to stack them on top of each other”",neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,17,They are talking about China like if they are aliens from different planet!!,joy,positive,disgust,neutral,negative,No,No,No,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,18,Very well done video. Those animations - hats off 👍,joy,positive,joy,neutral,positive,Yes,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,19,What do you mean running an economy based on economic derivatives leaves you vulnerable to foreign commodity spikes when you don't actually make anything? /s,anger,negative,fear,neutral,negative,No,Yes,No,neutral,Yes,neutral,neutral,Yes,sarcastic criticism of economic vulnerability,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,20,that thumbnail is so catchy so you click instantly,neutral,neutral,joy,neutral,positive,No,Yes,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,21,Why is it that I've never heard anyone voice any concerns about relying too much on the US or the EU?,neutral,neutral,neutral,surprise,negative,Yes,No,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,22,Can we get a video on shipbuilding on Bloomberg Primer?,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,23,US: Launches a trade war China: Fights back US: *Surprised Pikachu face*,surprise,neutral,surprise,surprise,negative,Yes,Yes,No,neutral,No,surprise,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,24,Thanks for the information,joy,positive,neutral,joy,positive,No,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,25,The big problem was the West and US did not do anything about it until they realise too late. China have been buying and processing rare earth for like 20 years. China have long term plans. Now it’s too late for the West to catch up as it takes a decade to develop the processing of rare earths,neutral,neutral,neutral,neutral,negative,No,No,No,neutral,No,joy,positive,Yes,"mostly factual strategic analysis, not clear praise",assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,26,It’s hella funny when the bully gets bullied 😂😂,joy,positive,joy,joy,neutral,No,No,No,joy,No,anger,negative,Yes,dominant cue is amusement/laughter,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,27,"He said ""hold all the chips"" 😂😂😂",joy,positive,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,Yes,laughing at wordplay,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,28,"Knowledge, skill, industrial muscle, AND security",neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,29,Great video,joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,30,"You guys are intentionally misleading to sound optimistic. In order for the West to get to the capacity that China has today, it would take about 20-30 years. And that assuming China stays still during that time.",disgust,negative,neutral,neutral,negative,No,No,Yes,neutral,No,disgust,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,31,Best thumbnail for a bloomberg video I've ever seen. Gg.,joy,positive,disgust,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,32,Straight of Rare Earths.,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,33,That refining technology was in widespread use in IA in the 1950s. Very highly optimized. We just let some Chinese students take it home.,anger,negative,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,Yes,critical blame about technology transfer,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,34,"Mate, don't even go to Rare earth!!! We would have to shut all business down if China stops any supplies.",fear,negative,anger,anger,negative,No,No,No,neutral,Yes,neutral,neutral,Yes,business shutdown risk cue,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,35,Being a video editor at Bloomberg must be so easy when the topic is about China. All they have to do is pick from a grand total of 10 different stock footage options.,anger,negative,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,Yes,sarcastic criticism of media editing,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,36,09:47 Why would the department of war buying $400 M worth of steaks from a freaking magnet factory lol.,surprise,neutral,surprise,surprise,negative,No,No,No,neutral,Yes,neutral,neutral,Yes,incredulous question with surprise cue,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,37,Love from South Africa ❤️🇿🇦🏆,joy,positive,neutral,joy,positive,No,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,38,10 billion hunt? That's just the first day of the Iran war. America wins wins wins.,anger,negative,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,Yes,sarcastic criticism of war spending,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,39,0:30. Woahhhh Malaysia 😃😃,surprise,neutral,surprise,neutral,positive,Yes,No,No,neutral,No,surprise,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,40,7:45 this is why there are playing the game so dominataly. They have filled every gap with right strategy. And it worked profoundly.,neutral,neutral,neutral,neutral,positive,Yes,Yes,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,41,"As the G2, we could literally run the world together. Let's go hand in hand as trustworthy allies rather than confront each other — there's no beef between us. Plus, the world already has enough problems. Others may not have the cards, but we do",joy,positive,neutral,neutral,positive,Yes,Yes,No,neutral,Yes,neutral,neutral,Yes,hopeful cooperative framing,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,42,"Australia has plenty of rare earth minerals, it's the processing that is the problem.",neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,43,Nectar Gan is so beautiful 🔥 👌,joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,44,brazil is full of rare earths,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,45,Trump: You have rare earths. We have all the oil. Lets trade...,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,46,Meanwhile China is already looking for the next chokehold.,neutral,neutral,neutral,neutral,negative,Yes,Yes,No,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,47,"The US has all the rare earth metals we need in California and Texas and in all the coal ash piles we have across the U.S. We simply need to build more of the processing plants to process these rare earths and the understanding that processing rare earths is usually a very polluting endeavor. I have no doubt we can do it in a more environmentally way, but we also need to understand that China's Rare Earth industry is heavily subsidized by China so America's Rare Earths will probably be more expensive. We also have the deals with both Ukraine and Austrailia for Rare Earths as well.",neutral,neutral,neutral,neutral,neutral,No,No,No,neutral,No,disgust,negative,Yes,balanced factual policy comment with concern but no dominant emotion,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,48,So much ad even before beginning?,anger,negative,surprise,neutral,neutral,No,Yes,Yes,neutral,Yes,neutral,neutral,Yes,complaint about excessive ads,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,49,"Calling 21% a ""quarter"" and not a ""fifth"" of world's supply should be considered journalistic malpractice",disgust,negative,disgust,disgust,negative,Yes,Yes,Yes,neutral,No,disgust,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,50,If making weapons of death is all that the USA does with them? BOYCOTT THEM ALL!,fear,negative,anger,anger,negative,No,No,Yes,anger,No,fear,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,1,This is the kind of content YouTube needs more of,joy,positive,neutral,neutral,positive,Yes,Yes,No,neutral,Yes,neutral,neutral,Yes,positive praise for the type of content,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,2,le le,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,3,🥰From India 🇮🇳 ❤🤗,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,4,Ecnaha,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,5,"The video is truly captivating, from the dramatic pace to the spectacular visuals, it's impossible to look away 👏🔥. The content is carefully selected, providing a thrilling and exciting experience, making viewers feel like they're living through every moment of the action. In particular, the scene setting and sound design are perfectly coordinated, highlighting the power and ferocity of the monsters 🦍🐊🏙. This is a high-quality clip, both entertaining and something viewers will want to watch again and again. The channel owner has done a great job bringing a cinematic experience right on YouTube, deserving more likes and subscribers 🌟💯. Hopefully, there will be more captivating videos like this in the future, which will surely attract even more viewers ❤🚀",joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,6,kaka gua batu,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,7,Смотрю из Таджикистана ❤,joy,positive,neutral,neutral,neutral,No,No,No,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,8,That's amazing really ❤️,joy,positive,joy,surprise,positive,Yes,No,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,9,From Cyprus!❤,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,10,Watching from Milano Italy ❤thank you for sharing,joy,positive,joy,joy,positive,Yes,Yes,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,11,Hola I am watching from NIGERIA🎉❤,joy,positive,joy,neutral,positive,Yes,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,12,N😊😊!o,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,13,Wow amazing MOVIE and watching from West Borneo,surprise,positive,surprise,surprise,positive,Yes,Yes,Yes,joy,No,surprise,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,14,"watching from Dublin, but Egyptian ❤❤❤ Amazing movie 🍿🎥",joy,positive,surprise,surprise,positive,No,No,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,15,Watching from Zambia 🥰,joy,positive,joy,neutral,positive,Yes,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,16,From Sri Lanka 🇱🇰🇱🇰❤❤,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,17,Watching from Ghana ❤🎉,joy,positive,joy,neutral,positive,Yes,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,18,I'll never miss an Avatar movie 😊,joy,positive,sadness,sadness,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,19,"Watching from my beloved country Philippines 🇵🇭🇵🇭 Since 2012 ,until now this movie is so amazing.. this is my favorite movie ever❤️AVATAR is the best for me❤❤❤❤❤",joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,20,Good morning everyone! It's quite amazing movie. I'm from Uzbekistan,joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,21,Good 👍 😊❤,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,22,From Swaziland...I'm enjoying this movie 🍿,joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,23,From Assam ❤❤❤,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,24,"watching from Abu Dhabi, UAE. thank you for sharing this video",joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,25,"The human coming in is like the world leaders,lying to us about everything!",anger,negative,neutral,anger,neutral,No,No,No,neutral,No,joy,positive,Yes,criticism of world leaders lying,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,26,Here before Christmas 2025 😅let's go,joy,positive,neutral,neutral,positive,Yes,Yes,No,neutral,Yes,neutral,neutral,Yes,anticipatory excitement,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,27,Watchin from Nepal❤🎉,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,28,"Аватар - был прекрасный фильм,❤а следующие части - это мультфильмы😪А так ждали и хотели продолжения именно фильма😢🥺",sadness,negative,neutral,neutral,neutral,No,No,No,neutral,No,sadness,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,29,Wonderful movie watching from south africa ❤😊❤,joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,30,Watching from California nice movie thank you for uploading it ❤😊,joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,31,I'm watching from Viet Nam ❤,joy,positive,joy,neutral,positive,Yes,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,32,Uae,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,33,"The Queen Mother arrived and quickly turned the world upside down, not letting the King Atma die.Myself",neutral,neutral,surprise,neutral,neutral,No,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,34,From Brasil! Great vídeo!,joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,35,hello friends permision i am from Indonesian i like your video cool 🎉🎉🎉🎉🎉 amazing 🥰🥰🥰🙏🙏🙏✌️,joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,36,"Mantap,,,❤❤❤❤❤",joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,37,From USA 🇱🇷🎉🎉,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,38,From indonesia❤,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,39,ok,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,40,They need a vr version of this 😮,surprise,positive,neutral,neutral,neutral,No,No,No,neutral,No,surprise,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,41,"Pandora always looks so stunning! 💙 If you could visit just one place in the Avatar world, where would it be ?",joy,positive,surprise,surprise,positive,No,No,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,42,Whatching from Kenya,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,43,"It's engaging and enjoyable to watch, mainly because the actors' performance is really good.",joy,positive,joy,joy,positive,Yes,Yes,Yes,joy,Yes,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,44,МУЛЬКИК НО ВСЁ ЖЕ ИНТЕРЕСНО.❤❤❤❤❤,joy,positive,fear,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,45,Watching from India Attendance please,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,46,You are a superhero! 🎉,joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,47,from Indonesia..🇮🇩❤ (Sragen),joy,positive,neutral,neutral,positive,No,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
https://www.youtube.com/watch?v=M8To7iorkxQ,avatar_clip,48,Watching from Philippines❤,joy,positive,joy,neutral,positive,Yes,No,Yes,neutral,No,joy,positive,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27
