theme,video_short,video_id,url,title,channel,published_at,view_count,comment_count,fetched_comments,selection_reason,englishish_ratio,sample_comment,query
tech_product_launch,tech_product_launch,n6pqGoXWZzo,https://www.youtube.com/watch?v=n6pqGoXWZzo,Introducing iPhone 16 Pro,fpt.,2024-09-05,721026,1252,100,"Product launch comments; likely neutral, joy, surprise, and brand comparison.",,,
fear_health_warning,fear_health_warning,5zWB4dLYChM,https://www.youtube.com/watch?v=5zWB4dLYChM,CDC: Tips From Former Smokers - Terrie H.’s Tip Ad,Centers for Disease Control and Prevention (CDC),2012-03-15,12957983,2050,100,Health warning campaign; likely fear and disgust.,1.0,"Terri and I graduated from Forbush High School, Class of 1978. While Terri was beautiful, energetic and a kind person in high school, I will always remember her for her courage in her battle against cancer and for the numerous lives she touched and those saved through her ad campaigns via the CDC. Terri lost her long battle with cancer on Monday, September 16, 2013. Her family and friends will miss her loving spirit. Thank you for all you did to eradicate smoking. It was not in vain. RIP Terri.",
sadness_psa,sadness_psa,B2rFTbvwteo,https://www.youtube.com/watch?v=B2rFTbvwteo,'Mistakes' (New Zealand road safety advert),Los Hooligun,2014-01-08,546921,397,100,Emotional PSA; likely sadness and fear.,1.0,"I like how none of them is really shown as a bad person, it's just saying that mistakes can be made and accidents happen. Always pay attention to side streets you're approaching and slow down if there's a car there looking like it's going to turn out of it (or if there's a car there at all).",
sadness_brand_story,sadness_brand_story,YvYGO4o334I,https://www.youtube.com/watch?v=YvYGO4o334I,Ladder - Life Insurance So Good You Might Wish You Didn't Have It,Ladder,2021-10-12,2777592,496,100,Emotional branded story; likely sadness and joy.,0.98,Never thought I'd see the day an actual insurance company would make a joke about killing someone on purpose. Bravo.,
surprise_product_fail,surprise_product_fail,8H6jz30Im_Y,https://www.youtube.com/watch?v=8H6jz30Im_Y,Note 7 #alert#alertnotification#overheating#note7#Samsung#stinkyturtle2#phone #Android#iPhone#Apple,Stinkyturtle2,2024-02-07,6972862,11215,100,"Product failure news; likely surprise, anger, and fear.",1.0,"""911 what is your emergency?"" ""BOOM!""",
surprise_launch_reaction,surprise_launch_reaction,4qGw9WH4Xj8,https://www.youtube.com/watch?v=4qGw9WH4Xj8,Why Grok Outshines ChatGPT and Gemini in AI Conversations,kokinclips,2024-11-10,516036,320,100,Product/AI launch reaction; likely surprise and neutral curiosity.,1.0,Now we have a left and a right AI bot 🤷🏻‍♀️,
disgust_food_safety,disgust_food_safety,--OnclX8yac,https://www.youtube.com/watch?v=--OnclX8yac,Inspectors find 110 violations at China Buffet,WPLG Local 10,2018-04-06,15386570,28461,100,Food-safety issue; likely disgust and anger.,1.0,Wtf Its this thing doing in my fyp 8 years later?,
disgust_brand_backlash,disgust_brand_backlash,zFm9FRxi0ZM,https://www.youtube.com/watch?v=zFm9FRxi0ZM,Kendall Jenner Pepsi Ad Spurs Controversy | TODAY,TODAY,2017-04-05,228889,208,100,"Brand backlash; likely disgust, anger, and surprise.",1.0,"""We're here to fight the evil corporate capitalists"" ""oh ...and Pepsi is here too""",
beauty_brand_campaign,beauty_brand_campaign,z2T-Rh838GA,https://www.youtube.com/watch?v=z2T-Rh838GA,Reverse Selfie: Social Media's Impact on Girls' Self-Esteem | Dove,Dove US,2021-04-20,3571461,873,100,"Beauty brand campaign; likely joy, sadness, neutral, and self-image discussion.",,This made me cry. I’m 19 years old and I wish so badly I hadn’t grown up with social media. It ruined my self esteem and I became so good at editing pictures and doing makeup and loosing weight. as women we are diminished to our appearance and only our appearance. I wish I could go back and time and take my phone away.,Dove Real Beauty Sketches official campaign
classic_brand_ad,classic_brand_ad,owGykVbfgUE,https://www.youtube.com/watch?v=owGykVbfgUE,Old Spice | The Man Your Man Could Smell Like,Old Spice,2010-02-05,63279517,26961,100,"Classic humorous ad; likely joy, surprise, and brand nostalgia.",,"""Sadly, he isn't me"" Instant divorce",Old Spice The Man Your Man Could Smell Like official commercial
automotive_brand_ad,automotive_brand_ad,M7FIvfx5J10,https://www.youtube.com/watch?v=M7FIvfx5J10,Volvo Trucks - The Epic Split feat. Van Damme,Volvo Trucks,2013-11-14,127762191,65504,100,"Automotive brand ad; likely surprise, joy, and admiration.",,This is better than all the lame 2026 Superbowl commercials.,Volvo Trucks The Epic Split official
sports_brand_purpose,sports_brand_purpose,jBnseji3tBk,https://www.youtube.com/watch?v=jBnseji3tBk,KAEPERNICK NIKE AD:  New ad featuring former San Francisco 49ers QB Colin Kaepernick,KPIX | CBS NEWS BAY AREA,2018-09-05,592649,269,100,"Brand purpose campaign; likely joy, anger, surprise, and polarized brand discussion.",,Pov: your here for an assignment,Nike Dream Crazy official ad Colin Kaepernick
tech_brand_story,tech_brand_story,nnsSUqgkDwU,https://www.youtube.com/watch?v=nnsSUqgkDwU,Parisian Love,Google,2009-11-19,8616809,4065,100,Technology brand storytelling; likely joy and emotional response.,,Here because of Atrioc the coffee cow,Google Parisian Love official ad
controversial_brand_purpose,controversial_brand_purpose,UYaY2Kb_PKI,https://www.youtube.com/watch?v=UYaY2Kb_PKI,Gillette's 'We believe: the best men can be' razors commercial takes on toxic masculinity,Guardian News,2019-01-15,5373350,26909,100,"Controversial brand purpose campaign; likely anger, disgust, joy, and neutral debate.",,For more context on this video: https://www.theguardian.com/world/2019/jan/15/gillette-metoo-ad-on-toxic-masculinity-cuts-deep-with-mens-rights-activists https://www.theguardian.com/commentisfree/2019/jan/16/men-masculinity-gillette-advertisement https://www.theguardian.com/media/2019/jan/16/gillette-ad-mens-rights-activists-woke-marketing https://www.theguardian.com/commentisfree/2019/jan/15/gillette-ad-not-pc-guff-piers-morgan-macho-stereotype-boys https://www.theguardian.com/media/2019/jan/19/gillette-ad-campaign-woke-advertising-salving-consciences,Gillette We Believe official ad
fast_food_brand_launch,fast_food_brand_launch,chYLHu0w8z0,https://www.youtube.com/watch?v=chYLHu0w8z0,Grimace Shake McDonald's ad 2023,Hobo Hobo,2023-06-28,9389902,5891,100,"Fast-food brand launch; likely joy, surprise, humor, and neutral discussion.",,"The voice acting is oddly real and genuine, invoking a sense of terror and odd sympathy that I never thought I’d feel for a McDonald’s character. Well done!",McDonald's Grimace Shake official commercial
gaming_product_launch,gaming_product_launch,RkC0l4iekYo,https://www.youtube.com/watch?v=RkC0l4iekYo,PS5 Hardware Reveal Trailer,PlayStation,2020-06-11,45277581,137779,100,"Gaming product launch; likely joy, surprise, anger, and brand comparison.",,Everyone: So what’s the price? Sony: It looks cool right?,PlayStation 5 reveal trailer official
streaming_trailer_reaction,streaming_trailer_reaction,Di310WS8zLk,https://www.youtube.com/watch?v=Di310WS8zLk,Wednesday Addams | Official Teaser | Netflix,Netflix,2022-08-17,29942959,15997,100,"Entertainment marketing trailer; likely joy, surprise, neutral, and fandom reactions.",,If they don’t release this on Wednesdays they’ve missed a trick.,Netflix Wednesday official trailer
app_brand_campaign,app_brand_campaign,Ew4kM1FmM8o,https://www.youtube.com/watch?v=Ew4kM1FmM8o,Introducing Duolingo Adventures,Duolingo,2024-09-24,2877497,1489,100,"App brand campaign; likely joy, surprise, and humor.",,"I like how they say ""without pressure"" like an oversized green owl isn't holding me at gunpoint.",Duolingo official commercial campaign
